price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,construction_year
13300000,7420,4,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished,1984
12250000,8960,4,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished,1987
12250000,9960,3,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,2004
12215000,7500,4,2.0,2.0,yes,no,yes,no,yes,3.0,yes,furnished,2007
11410000,7420,4,1.0,2.0,yes,yes,yes,no,yes,2.0,no,furnished,2007
10850000,7500,3,3.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished,1949
10150000,8580,4,3.0,4.0,yes,no,no,no,yes,2.0,yes,semi-furnished,1961
10150000,16200,5,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,1976
9870000,8100,4,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,2010
9800000,5750,3,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished,1952
9800000,13200,3,1.0,2.0,yes,no,yes,no,yes,2.0,yes,furnished,1998
9681000,6000,4,3.0,2.0,yes,yes,yes,yes,no,2.0,no,semi-furnished,2005
9310000,6550,4,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,1979
9240000,3500,4,2.0,2.0,yes,no,no,sim,no,2.0,no,furnished,1986
9240000,7800,3,2.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished,1977
9100000,6000,4,1.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished,1965
9100000,6600,4,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished,2017
8960000,8500,3,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,2012
8890000,4600,3,2.0,2.0,yes,yes,no,no,yes,2.0,no,furnished,1949
8855000,6420,3,2.0,2.0,yes,no,no,nao,yes,1.0,yes,semi-furnished,1960
8750000,4320,3,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished,2020
8680000,7155,3,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished,2009
8645000,8050,3,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished,2019
8645000,4560,3,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,1987
8575000,8800,3,2.0,2.0,yes,no,no,no,yes,2.0,no,furnished,2004
8540000,6540,4,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,1989
8463000,6000,3,2.0,4.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,1969
8400000,8875,3,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,1959
8400000,7950,5,2.0,2.0,yes,no,yes,yes,no,2.0,no,unfurnished,1959
8400000,5500,4,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished,1954
8400000,7475,3,2.0,4.0,yes,no,no,nao,yes,2.0,no,unfurnished,1979
8400000,7000,3,1.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished,1972
8295000,4880,4,2.0,2.0,yes,no,no,no,yes,1.0,yes,furnished,2005
8190000,5960,3,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished,1949
8120000,6840,5,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished,1997
8080940,7000,3,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,1972
8043000,7482,3,2.0,3.0,yes,no,no,sim,no,1.0,yes,furnished,1971
7980000,9000,4,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished,2014
7962500,6000,3,1.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished,1963
7910000,6000,4,2.0,4.0,yes,no,no,no,yes,1.0,no,semi-furnished,1975
7875000,6550,3,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished,2015
7840000,6360,3,2.0,4.0,yes,no,no,no,yes,0.0,yes,furnished,1995
7700000,6480,3,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,1968
7700000,6000,4,2.0,4.0,yes,no,no,no,no,2.0,no,semi-furnished,1974
7560000,6000,4,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished,1940
7560000,6000,3,2.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished,1940
7525000,6000,3,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished,1976
7490000,6600,3,1.0,4.0,yes,no,no,no,yes,3.0,yes,furnished,1993
7455000,4300,3,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished,1945
7420000,7440,3,2.0,1.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished,1978
7420000,7440,3,2.0,4.0,yes,no,no,no,no,1.0,yes,unfurnished,1957
7420000,6325,3,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished,2019
7350000,6000,4,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished,1944
