price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,construction_year,price_per_bedroom
10150.0,1.61,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,1961,2537.5
10150.0,5.15,5,3,2,yes,no,no,no,no,0,no,unfurnished,1976,2030.0
9870.0,1.39,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,2010,2467.5
9800.0,0.3,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,1952,3266.67
9800.0,3.76,3,1,2,yes,no,yes,no,yes,2,yes,furnished,1998,3266.67
9681.0,0.42,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,2005,2420.25
9310.0,0.67,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,1979,2327.5
9240.0,-0.75,4,2,2,yes,no,no,sim,no,2,no,furnished,1986,2310.0
9240.0,1.25,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,1977,3080.0
9100.0,0.42,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,1965,2275.0
9100.0,0.69,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,2017,2275.0
8960.0,1.58,3,2,4,yes,no,no,no,yes,2,no,furnished,2012,2986.67
8890.0,-0.24,3,2,2,yes,yes,no,no,yes,2,no,furnished,1949,2963.33
8855.0,0.61,3,2,2,yes,no,no,nao,yes,1,yes,semi-furnished,1960,2951.67
8750.0,-0.37,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,2020,2916.67
8680.0,0.95,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,2009,2893.33
8645.0,1.37,3,1,1,yes,yes,yes,no,yes,1,no,furnished,2019,2881.67
8645.0,-0.25,3,2,2,yes,yes,yes,no,yes,1,no,furnished,1987,2881.67
8575.0,1.72,3,2,2,yes,no,no,no,yes,2,no,furnished,2004,2858.33
8540.0,0.67,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,1989,2135.0
8463.0,0.42,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,1969,2821.0
8400.0,1.75,3,1,1,yes,no,no,no,no,1,no,semi-furnished,1959,2800.0
8400.0,1.32,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,1959,1680.0
8400.0,0.18,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,1954,2100.0
8400.0,1.1,3,2,4,yes,no,no,nao,yes,2,no,unfurnished,1979,2800.0
8400.0,0.88,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,1972,2800.0
8295.0,-0.1,4,2,2,yes,no,no,no,yes,1,yes,furnished,2005,2073.75
8190.0,0.4,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,1949,2730.0
8120.0,0.81,5,1,2,yes,yes,yes,no,yes,1,no,furnished,1997,1624.0
8080.94,0.88,3,2,4,yes,no,no,no,yes,2,no,furnished,1972,2693.65
8043.0,1.1,3,2,3,yes,no,no,sim,no,1,yes,furnished,1971,2681.0
7980.0,1.81,4,2,4,yes,no,no,no,yes,2,no,furnished,2014,1995.0
7962.5,0.42,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,1963,2654.17
7910.0,0.42,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,1975,1977.5
7875.0,0.67,3,1,2,yes,no,yes,no,yes,0,yes,furnished,2015,2625.0
7840.0,0.58,3,2,4,yes,no,no,no,yes,0,yes,furnished,1995,2613.33
7700.0,0.64,3,2,4,yes,no,no,no,yes,2,no,unfurnished,1968,2566.67
7700.0,0.42,4,2,4,yes,no,no,no,no,2,no,semi-furnished,1974,1925.0
7560.0,0.42,4,2,4,yes,no,no,no,yes,1,no,furnished,1940,1890.0
7560.0,0.42,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,1940,2520.0
7525.0,0.42,3,2,4,yes,no,no,no,yes,1,no,furnished,1976,2508.33
7490.0,0.69,3,1,4,yes,no,no,no,yes,3,yes,furnished,1993,2496.67
7455.0,-0.37,3,2,2,yes,no,yes,no,no,1,no,unfurnished,1945,2485.0
7420.0,1.08,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,1978,2473.33
7420.0,1.08,3,2,4,yes,no,no,no,no,1,yes,unfurnished,1957,2473.33
7420.0,0.57,3,1,4,yes,no,no,no,yes,1,no,unfurnished,2019,2473.33
7350.0,0.42,4,2,4,yes,yes,no,no,yes,1,no,furnished,1944,1837.5
7350.0,0.02,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,1982,2450.0
7350.0,0.42,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,1998,2450.0
7350.0,0.42,3,1,2,yes,no,no,no,yes,1,no,unfurnished,1971,2450.0
7343.0,2.94,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,1941,1835.75
7245.0,1.81,4,2,4,yes,yes,no,no,yes,1,yes,furnished,2005,1811.25
7210.0,1.2,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,1981,1802.5
7210.0,0.42,3,2,4,yes,yes,no,no,yes,1,no,furnished,1997,2403.33
7140.0,0.42,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,1975,2380.0
7070.0,1.75,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,1951,3535.0
7070.0,0.53,4,2,2,yes,no,no,no,yes,1,no,furnished,1986,1767.5
7035.0,0.58,4,2,3,yes,no,no,no,yes,2,yes,furnished,1940,1758.75
7000.0,2.82,3,1,1,yes,no,yes,no,yes,1,yes,furnished,1954,2333.33
6930.0,1.75,3,2,2,yes,no,yes,no,yes,1,no,furnished,1993,2310.0
6930.0,3.76,2,1,1,yes,no,yes,yes,no,1,no,furnished,1952,3465.0
6895.0,1.21,3,2,1,yes,no,no,no,no,2,no,unfurnished,1982,2298.33
6860.0,0.42,3,1,1,yes,no,no,no,yes,1,no,furnished,2015,2286.67
6790.0,3.24,4,2,2,yes,no,no,no,no,2,yes,furnished,2008,1697.5
6790.0,-0.51,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,1946,2263.33
6755.0,0.42,4,2,4,yes,no,no,no,yes,0,no,unfurnished,2008,1688.75
6720.0,-0.04,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,1987,2240.0
6685.0,0.69,2,2,4,yes,no,yes,no,no,0,yes,furnished,1943,3342.5
6650.0,-0.5,3,1,2,yes,no,yes,yes,no,1,no,furnished,2016,2216.67
6650.0,-0.39,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,1992,1662.5
6650.0,0.61,3,2,3,yes,no,no,no,yes,0,yes,furnished,2018,2216.67
6650.0,0.65,3,2,3,yes,no,no,no,yes,0,yes,furnished,1955,2216.67
6650.0,0.28,3,1,1,yes,yes,yes,no,yes,2,yes,furnished           ,1960,2216.67
6650.0,0.42,3,2,3,yes,yes,no,no,yes,0,no,furnished,1998,2216.67
6629.0,0.42,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,1963,2209.67
6615.0,-0.51,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,2019,2205.0
6615.0,2.51,3,2,1,yes,no,yes,no,yes,1,yes,furnished,1953,2205.0
6580.0,0.42,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,1988,2193.33
6510.0,-0.63,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,1989,2170.0
6510.0,1.46,3,2,3,yes,no,no,no,yes,0,no,furnished,2009,2170.0
6510.0,0.73,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,1981,2170.0
6475.0,-0.53,3,1,1,yes,no,yes,no,no,2,no,semi-furnished        ,1975,2158.33
6475.0,1.07,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,2004,2158.33
6440.0,1.61,5,3,2,yes,no,no,no,no,2,no,furnished,2009,1288.0
6440.0,-0.05,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,1940,2146.67
6419.0,0.76,2,1,1,yes,yes,yes,no,no,2,yes,furnished,1990,3209.5
6405.0,-0.14,3,2,4,yes,yes,no,no,yes,0,no,furnished,1976,2135.0
6300.0,0.97,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,1974,2100.0
6300.0,0.42,4,2,4,yes,no,no,no,no,1,no,semi-furnished,1988,1575.0
6300.0,-0.47,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,1943,2100.0
6300.0,1.81,3,1,1,yes,no,yes,no,no,1,yes,furnished,1982,2100.0
6300.0,0.6,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,2017,2100.0
6293.0,0.69,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,1961,2097.67
